variable,coefficient,type
Intercept,-2.248472641,cont
clc_age_rcs_1_C,0.227008328,cont
clc_age_rcs_2_C,-0.716984247,cont
clc_age_rcs_3_C,2.081296015,cont
fmh_15_1_C,0.85999173,cat
hwmdbmi_rcs_1_C,0.145969454,cont
hwmdbmi_rcs_2_C,0.129755466,cont
diabx_1_C,2.642667199,cat
clc_age_rcs_1_by_hwmdbmi_rcs_1_C,-0.001968393,cont
clc_age_rcs_2_by_hwmdbmi_rcs_1_C,0.021593308,cont
clc_age_rcs_3_by_hwmdbmi_rcs_1_C,-0.068405591,cont
clc_age_rcs_1_by_hwmdbmi_rcs_2_C,-0.004475157,cont
clc_age_rcs_2_by_hwmdbmi_rcs_2_C,-0.003069774,cont
clc_age_rcs_3_by_hwmdbmi_rcs_2_C,0.026362919,cont
clc_age_rcs_1_by_diabx_1_C,-0.024490926,cont
clc_age_rcs_2_by_diabx_1_C,0.102039921,cont
clc_age_rcs_3_by_diabx_1_C,-0.366964525,cont
