variable,coefficient,type
Intercept,-1.915239452,cont
clc_age_rcs_1_C,0.59633291,cont
clc_age_rcs_2_C,-0.983341842,cont
clc_age_rcs_3_C,2.096381011,cont
fmh_15_1_C,0.782228096,cat
hwmdbmi_rcs_1_C,0.79711022,cont
hwmdbmi_rcs_2_C,-0.802155451,cont
diabx_1_C,5.796432517,cat
clc_age_rcs_1_by_hwmdbmi_rcs_1_C,-0.018665302,cont
clc_age_rcs_2_by_hwmdbmi_rcs_1_C,0.036399545,cont
clc_age_rcs_3_by_hwmdbmi_rcs_1_C,-0.07722547,cont
clc_age_rcs_1_by_hwmdbmi_rcs_2_C,0.021531623,cont
clc_age_rcs_2_by_hwmdbmi_rcs_2_C,-0.040003965,cont
clc_age_rcs_3_by_hwmdbmi_rcs_2_C,0.07560878,cont
clc_age_rcs_1_by_diabx_1_C,-0.093051063,cont
clc_age_rcs_2_by_diabx_1_C,0.120165708,cont
clc_age_rcs_3_by_diabx_1_C,-0.304303246,cont
